OBJECTID,INSTALLED,UPGRADED,INFRA_HIGHORDER
739,2009,NA,Protected Lanes
740,2010,NA,On-Road Lanes
741,2010,2015,On-Road Lanes
742,2011,NA,Protected Lanes
743,2011,NA,Protected Lanes
744,2013,NA,Protected Lanes
745,2013,NA,Protected Lanes
746,2013,NA,Shared Roadways
747,2013,NA,Shared Roadways
748,2013,NA,Shared Roadways
749,2013,NA,Shared Roadways
750,2013,NA,Shared Roadways
751,2013,NA,Shared Roadways
752,2013,NA,Shared Roadways
753,2005,NA,On-Road Lanes
754,2014,NA,On-Road Lanes
755,2014,NA,Protected Lanes
756,2014,NA,Protected Lanes
757,2014,NA,Protected Lanes
758,2014,NA,Protected Lanes
759,2014,NA,On-Road Lanes
760,2014,2020,On-Road Lanes
761,2014,NA,Protected Lanes
762,2012,NA,Protected Lanes
763,2012,NA,Protected Lanes
764,2012,NA,Protected Lanes
765,2012,NA,Protected Lanes
766,2012,NA,Protected Lanes
767,2012,NA,Shared Roadways
768,2012,NA,Shared Roadways
769,2012,NA,Shared Roadways
770,2012,NA,Shared Roadways
771,2012,NA,Shared Roadways
772,2012,NA,Shared Roadways
773,2012,NA,Shared Roadways
774,2012,NA,Shared Roadways
775,2012,NA,Shared Roadways
776,2012,NA,Shared Roadways
777,2012,NA,Shared Roadways
778,2012,NA,Shared Roadways
779,2012,NA,Shared Roadways
780,2012,NA,Shared Roadways
781,2012,NA,Shared Roadways
782,2012,NA,Shared Roadways
783,2012,NA,Shared Roadways
784,2012,NA,Shared Roadways
785,2012,NA,Shared Roadways
786,2012,NA,Shared Roadways
787,2012,NA,Shared Roadways
788,2012,NA,Shared Roadways
789,2012,NA,Shared Roadways
790,2012,NA,Protected Lanes
791,2012,NA,Shared Roadways
792,2012,NA,Shared Roadways
793,2012,NA,Shared Roadways
794,2012,NA,Shared Roadways
795,2012,NA,Shared Roadways
796,2012,NA,Shared Roadways
797,2012,NA,Shared Roadways
798,2012,NA,Shared Roadways
799,2012,NA,Shared Roadways
800,2012,NA,Shared Roadways
801,2013,NA,Protected Lanes
802,2013,NA,Protected Lanes
803,2006,2013,Protected Lanes
804,2013,NA,On-Road Lanes
805,2013,NA,On-Road Lanes
806,2013,NA,Shared Roadways
807,2013,2019,Shared Roadways
808,2013,NA,Protected Lanes
809,2013,NA,Protected Lanes
810,2015,NA,Shared Roadways
811,2015,NA,Shared Roadways
812,2015,NA,Shared Roadways
813,2015,NA,Protected Lanes
814,2015,NA,Shared Roadways
815,2015,NA,Shared Roadways
816,2015,NA,Shared Roadways
817,2015,NA,Shared Roadways
818,2015,NA,Shared Roadways
